,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
3996,-1,-1,-1,0,0,64,0,0,0,0,100000006,100000006,138,533,6,0,0,616,0,501,421,-1,-1,-1,0,697,647,100000003,100000003,28,-1,-1,-1,100000003,100000003,107,750,64,152
6795,0,0,0,0,0,0,-1,-1,-1,0,203,166,0,533,0,-1,-1,-1,0,275,840,-1,-1,-1,657,0,222,428,107,0,0,0,734,292,107,107,117,50,209
8999,0,0,0,0,141,0,0,0,0,0,203,166,0,533,0,0,11,17,0,275,840,238,0,314,657,307,222,428,107,0,0,0,734,292,107,107,117,50,38
9285,0,0,0,40,834,64,0,0,20,50,427,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,697,647,11,3,0,0,57,734,100000003,100000003,107,-1,-1,-1
9768,-1,-1,-1,0,717,0,-1,-1,-1,0,0,70,0,533,0,229,0,0,0,293,836,-1,-1,-1,786,163,647,196,348,0,-1,-1,-1,100000003,100000003,107,362,64,35
11889,-1,-1,-1,0,0,236,66,0,0,-1,-1,-1,0,533,0,0,0,576,-1,-1,-1,225,0,0,0,38,0,428,0,0,90,109,734,-1,-1,-1,117,403,0
12105,0,0,0,211,0,658,0,186,0,0,0,166,0,533,8,-1,-1,-1,0,275,513,0,166,0,0,513,0,428,100000006,100000006,0,12,734,282,355,107,0,430,287
12181,0,0,0,0,0,0,0,101,0,0,0,0,-1,-1,-1,229,0,0,0,0,241,-1,-1,-1,0,163,647,196,0,0,-1,-1,-1,-1,-1,-1,233,64,35
12648,0,0,0,13,0,25,107,121,0,0,0,166,0,533,0,0,0,0,0,275,513,0,0,2,0,328,80,428,0,0,0,12,734,49,355,107,58,1,657
13058,0,0,0,608,10,0,0,0,0,0,203,166,0,533,0,0,0,0,0,275,840,0,0,314,-1,-1,-1,428,107,0,0,0,734,292,107,107,117,50,485
13816,-1,-1,-1,0,0,236,0,0,65,97,0,166,-1,-1,-1,170,100000006,100000006,0,275,399,225,40,0,0,38,512,428,0,0,199,109,734,51,0,107,117,403,1
15114,0,0,0,0,0,0,0,0,0,0,0,166,0,533,0,462,0,0,535,275,513,0,0,0,100000005,-1,100000005,428,0,271,36,12,734,563,355,107,32,100000006,100000006
15697,0,0,0,0,0,236,0,0,0,0,0,166,252,533,0,0,0,576,108,275,0,225,0,0,0,38,612,-1,-1,-1,425,109,734,51,0,107,117,403,0
17294,0,0,0,0,230,0,0,0,267,0,0,166,0,533,0,-1,-1,-1,0,275,513,0,0,0,569,100000006,100000006,428,0,271,0,12,734,104,355,107,616,100000006,100000006
17685,0,0,0,0,0,0,0,101,217,0,0,252,-1,-1,-1,229,0,0,-1,-1,-1,-1,-1,-1,0,163,647,-1,-1,-1,-1,-1,-1,-1,-1,-1,233,64,35
18150,0,0,0,0,0,0,0,0,0,0,0,770,0,533,0,0,0,0,0,0,434,0,0,0,62,691,12,340,0,708,157,98,734,2,111,107,100000003,100000003,606
18527,-1,-1,-1,0,0,0,0,101,0,69,0,0,154,533,112,229,0,0,0,293,836,-1,-1,-1,786,163,647,196,0,498,-1,-1,-1,100000003,100000003,107,-1,-1,-1
18846,0,0,134,0,0,430,0,0,0,0,0,0,284,533,0,-1,-1,-1,0,275,101,-1,-1,-1,-1,-1,-1,428,17,39,198,839,734,141,278,107,369,55,19
19120,0,0,0,0,8,0,0,0,0,0,0,166,0,533,0,24,0,0,0,275,0,0,42,0,160,0,911,428,80,0,-1,-1,-1,350,713,107,-1,-1,-1
19134,0,0,0,-1,-1,-1,-1,-1,-1,0,16,0,0,533,0,-1,-1,-1,0,501,27,-1,-1,-1,0,697,647,0,0,62,52,57,734,100000003,100000003,107,64,64,152
19199,0,0,0,187,38,64,-1,-1,-1,0,16,168,-1,-1,-1,0,0,616,0,501,27,-1,-1,-1,31,697,647,296,0,62,52,57,734,-1,-1,-1,0,64,152
19498,-1,-1,-1,0,0,236,0,0,0,0,312,166,0,533,0,0,568,0,-1,-1,-1,225,0,0,-1,-1,-1,428,378,2,0,109,734,51,0,107,117,403,119
19828,0,0,0,0,0,236,-1,-1,-1,97,0,166,-1,-1,-1,0,0,0,0,275,0,-1,-1,-1,0,38,0,-1,-1,-1,0,109,734,51,0,107,117,403,1
19929,0,0,0,0,0,0,-1,-1,-1,185,0,0,188,533,0,229,0,0,169,0,253,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,49,734,100000003,100000003,107,204,64,35
20500,0,280,125,0,0,0,0,892,225,-1,-1,-1,188,533,0,229,708,243,169,0,253,-1,-1,-1,667,163,647,0,100000006,100000006,0,108,734,100000003,100000003,107,204,64,35
20619,0,0,295,0,0,236,0,0,0,0,0,166,0,533,1,0,0,0,195,275,0,225,0,291,153,38,8,428,388,106,0,109,734,51,144,107,117,403,119
21682,0,0,0,-1,-1,-1,-1,-1,-1,0,0,166,0,533,458,-1,-1,-1,0,275,0,0,42,184,34,826,911,428,80,0,-1,-1,-1,350,713,107,117,0,243
22185,0,31,0,0,8,0,657,0,0,0,167,166,0,533,0,-1,-1,-1,0,275,0,0,42,0,83,292,911,428,80,0,-1,-1,-1,350,713,107,117,545,243
22357,0,0,0,0,0,236,0,0,0,0,0,166,0,533,0,0,221,576,0,275,0,225,210,0,0,38,0,428,100000006,100000006,400,109,734,-1,-1,-1,117,403,313
22424,0,0,0,32,0,0,122,290,0,0,0,30,0,533,0,349,0,0,-1,-1,-1,0,100000006,100000006,260,0,266,428,97,0,-1,-1,-1,21,0,107,254,55,115
22585,-1,-1,-1,0,194,0,63,0,0,-1,-1,-1,-1,-1,-1,0,541,0,0,85,434,-1,-1,-1,0,691,23,0,332,708,-1,-1,-1,0,111,107,100000003,100000003,0
22587,0,0,0,0,59,64,0,0,0,0,216,0,0,533,0,0,0,616,19,501,22,-1,-1,-1,408,697,647,-1,-1,-1,184,57,734,100000003,100000003,107,750,64,152
23293,0,60,0,0,0,0,-1,-1,-1,0,0,0,0,533,32,0,454,0,-1,-1,-1,0,0,441,0,0,82,428,30,0,198,221,734,66,27,107,175,55,0
24922,0,0,259,0,0,430,0,55,0,0,0,550,284,533,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,141,278,107,369,55,0
24941,0,0,0,-1,-1,-1,0,0,51,0,0,0,-1,-1,-1,-1,-1,-1,0,275,101,603,0,0,0,0,0,428,17,0,198,38,734,141,258,107,0,55,182
25006,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,229,0,0,100000005,-1,100000005,-1,-1,-1,0,163,647,196,0,355,-1,-1,-1,-1,-1,-1,233,64,35
25809,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0,533,0,100000003,100000003,0,0,275,0,225,0,0,0,38,38,428,60,0,0,109,734,51,0,107,117,403,46
26771,0,0,0,115,0,236,0,0,0,97,0,166,0,533,0,-1,-1,-1,-1,-1,-1,225,0,60,100000005,-1,100000005,428,0,27,-1,-1,-1,51,87,107,-1,-1,-1
27267,0,0,147,25,0,0,0,0,0,0,292,166,315,533,135,92,0,0,0,275,513,51,0,0,0,0,0,428,0,0,-1,-1,-1,-1,-1,-1,0,137,0
27731,0,0,0,-1,-1,-1,-1,-1,-1,789,203,166,225,533,5,0,0,0,452,275,840,0,0,314,657,253,15,-1,-1,-1,41,0,734,292,82,107,117,50,4
27833,0,0,0,561,0,0,0,0,225,-1,-1,-1,188,533,0,-1,-1,-1,169,0,253,-1,-1,-1,0,163,647,894,566,30,0,0,734,100000003,100000003,107,204,64,35
27901,0,0,0,0,0,0,0,0,645,0,0,166,0,533,0,462,0,0,0,275,513,100000003,100000003,34,306,292,0,428,428,271,4,12,734,0,355,107,-1,-1,-1
29262,0,0,0,-1,-1,-1,0,0,0,0,0,166,0,533,376,-1,-1,-1,0,275,0,100000005,-1,100000005,0,0,0,428,100000006,100000006,422,58,734,180,0,107,117,47,187
30393,0,68,0,0,1,236,0,0,0,97,0,166,-1,-1,-1,0,0,0,0,275,0,225,40,0,0,38,0,428,762,584,0,109,734,51,22,107,117,403,1
30723,0,0,0,155,0,236,0,0,0,0,0,166,0,533,0,850,0,576,0,275,0,225,0,0,-1,-1,-1,-1,-1,-1,0,109,734,51,0,107,117,403,16
30903,-1,-1,-1,254,0,430,-1,-1,-1,0,204,0,0,533,418,-1,-1,-1,86,275,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,198,203,734,252,0,107,0,55,153
30971,0,0,0,0,0,430,0,0,0,-1,-1,-1,284,533,0,-1,-1,-1,377,275,101,-1,-1,-1,0,333,409,428,17,0,-1,-1,-1,141,379,107,369,55,0
32636,0,0,0,0,1,236,0,415,0,97,0,166,-1,-1,-1,-1,-1,-1,0,275,433,225,40,0,0,38,0,428,0,584,0,109,734,51,0,107,117,403,1
