,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
3263,0,56,0,0,0,0,0,151,0,-1,-1,-1,308,0,0,105,0,0,136,227,201,-1,-1,-1,0,320,0,0,180,0,16,358,0,0,328,153,100000005,-1,100000005
6309,0,56,0,0,0,0,0,0,97,100000005,-1,100000005,308,55,0,27,0,0,0,0,201,0,53,148,0,0,127,0,0,53,16,358,0,202,328,341,100000005,-1,100000005
9385,0,56,0,109,0,0,167,184,0,-1,-1,-1,308,157,0,85,0,365,0,0,201,0,0,0,0,10,500,0,0,0,16,358,559,0,328,145,100000005,-1,100000005
10829,-1,-1,-1,0,0,0,0,805,97,0,0,0,308,0,0,0,0,210,0,246,201,405,0,0,236,0,188,216,0,53,16,358,0,0,328,127,100000005,-1,100000005
15001,0,0,0,-1,-1,-1,480,0,0,0,0,104,308,0,199,145,0,0,2,37,201,0,13,0,0,754,0,0,341,39,16,124,227,137,328,633,59,272,156
17558,0,0,0,0,0,0,0,0,0,0,0,104,308,100000006,100000006,-1,-1,-1,0,37,201,0,0,46,0,754,0,0,0,26,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
17781,0,0,0,488,0,162,298,525,0,0,0,104,-1,-1,-1,-1,-1,-1,31,37,201,0,0,46,11,754,0,0,0,26,-1,-1,-1,479,328,344,100000005,-1,100000005
18051,0,0,0,31,0,0,0,683,0,0,0,104,308,0,0,0,392,134,211,37,201,38,91,46,0,754,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18295,0,56,0,272,293,0,-1,-1,-1,0,0,0,-1,-1,-1,0,333,0,0,0,201,0,20,63,-1,-1,-1,0,0,0,16,358,0,95,328,0,100000005,-1,100000005
19575,0,0,172,488,0,0,0,0,0,365,0,104,308,0,0,0,0,0,0,37,201,-1,-1,-1,0,754,0,246,0,26,-1,-1,-1,479,328,344,100000005,-1,100000005
20283,0,28,0,-1,-1,-1,-1,-1,-1,0,0,104,308,170,0,0,0,0,0,37,201,0,72,46,264,754,0,0,239,26,-1,-1,-1,0,328,344,-1,-1,-1
21479,0,0,579,-1,-1,-1,0,0,143,0,19,104,308,596,0,-1,-1,-1,-1,-1,-1,0,0,46,0,754,0,-1,-1,-1,-1,-1,-1,73,328,344,100000005,-1,100000005
21661,0,145,0,0,0,0,0,0,0,121,0,104,-1,-1,-1,261,0,41,0,37,201,-1,-1,-1,73,754,131,0,0,26,-1,-1,-1,0,328,275,100000005,-1,100000005
22097,0,0,0,-1,-1,-1,-1,-1,-1,0,0,104,308,0,0,-1,-1,-1,0,37,201,0,0,46,-1,-1,-1,0,0,26,-1,-1,-1,560,328,80,100000005,-1,100000005
24077,0,0,0,0,0,0,44,0,0,0,0,104,308,0,0,-1,-1,-1,0,37,201,0,33,46,0,754,54,0,218,26,-1,-1,-1,479,328,61,100000005,-1,100000005
24603,0,0,0,-1,-1,-1,-1,-1,-1,365,0,104,308,0,0,0,0,0,0,37,201,-1,-1,-1,0,754,0,246,0,26,-1,-1,-1,479,328,344,100000005,-1,100000005
24661,0,0,0,0,0,0,0,0,24,0,0,104,308,0,0,620,0,17,747,37,201,117,462,46,0,754,0,0,0,26,-1,-1,-1,73,328,344,100000005,-1,100000005
25234,-1,-1,-1,0,0,0,0,0,97,0,140,0,308,0,0,0,0,0,-1,-1,-1,53,0,639,0,3,127,-1,-1,-1,16,358,125,202,328,0,-1,-1,-1
