,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
4647,0,290,0,-1,-1,-1,0,0,143,147,61,0,-1,-1,-1,0,170,0,187,709,0,0,0,334,0,0,35,86,0,458,0,36,396,374,570,0,100000003,100000003,51
6612,-1,-1,-1,390,0,0,0,0,0,-1,-1,-1,-1,-1,-1,178,0,166,-1,-1,-1,-1,-1,-1,0,83,0,0,578,0,100000003,100000003,0,100000005,-1,100000005,469,318,153
8977,0,290,0,0,0,0,0,0,695,147,61,0,0,848,0,0,170,0,231,709,0,0,0,0,573,0,482,424,0,86,-1,-1,-1,0,415,0,100000003,100000003,51
10349,0,0,0,0,92,0,0,0,0,-1,-1,-1,0,848,0,0,156,261,0,100000006,100000006,126,0,0,100000005,-1,100000005,359,188,0,0,55,0,251,544,0,0,58,17
11173,0,0,236,0,0,0,0,0,0,147,8,0,0,848,0,0,0,0,0,100000006,100000006,126,473,0,1,356,475,359,225,0,0,285,199,471,0,0,100000003,100000003,0
14332,-1,-1,-1,0,0,0,0,0,0,147,0,0,0,848,0,0,0,0,0,100000006,100000006,-1,-1,-1,0,0,0,359,0,0,0,0,199,471,0,19,-1,-1,-1
15084,0,290,0,49,0,0,0,0,0,147,61,140,0,848,0,0,170,0,0,709,0,0,39,0,27,497,477,0,0,0,0,36,396,0,570,0,100000003,100000003,51
16237,0,290,0,-1,-1,-1,322,0,0,147,0,0,468,848,127,0,144,0,0,709,0,0,589,0,0,0,0,0,57,271,396,148,396,35,911,315,100000003,100000003,224
16546,0,290,0,0,0,0,0,0,0,147,61,5,0,848,0,-1,-1,-1,0,709,116,0,0,0,0,0,250,0,110,0,0,36,396,100000005,-1,100000005,100000003,100000003,51
16808,-1,-1,-1,-1,-1,-1,-1,-1,-1,147,0,165,-1,-1,-1,178,0,210,0,0,0,126,573,0,-1,-1,-1,263,578,0,100000003,100000003,307,100000005,-1,100000005,469,343,20
17123,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,848,157,0,0,0,0,100000006,100000006,126,0,0,0,0,0,359,0,0,-1,-1,-1,471,0,167,-1,-1,-1
17163,0,290,0,-1,-1,-1,0,707,0,-1,-1,-1,529,848,58,24,170,0,0,709,0,0,0,0,114,0,477,855,0,8,103,36,396,0,570,0,-1,-1,-1
17308,0,4,0,333,0,0,0,0,0,147,0,0,0,848,393,0,0,0,0,100000006,100000006,126,0,479,0,61,0,359,815,0,0,0,199,471,0,0,-1,-1,-1
19419,0,290,0,0,0,0,0,0,0,147,61,0,-1,-1,-1,0,170,0,0,709,0,-1,-1,-1,251,85,0,356,0,0,251,36,396,0,0,720,100000003,100000003,51
19434,0,0,0,16,0,0,0,0,0,147,0,0,0,848,0,42,156,0,0,100000006,100000006,126,607,0,0,0,0,359,0,91,0,439,0,251,544,0,0,601,527
19875,0,290,0,-1,-1,-1,0,0,0,147,61,719,0,848,0,0,170,0,192,709,0,0,0,34,100000005,-1,100000005,699,0,0,73,36,396,100000005,-1,100000005,100000003,100000003,51
20560,-1,-1,-1,0,219,0,0,0,0,147,0,0,-1,-1,-1,-1,-1,-1,0,56,0,126,0,161,-1,-1,-1,34,578,0,100000003,100000003,194,100000005,-1,100000005,469,100000006,100000006
20647,0,0,0,0,0,0,0,0,783,-1,-1,-1,0,848,0,-1,-1,-1,0,100000006,100000006,126,0,0,0,0,0,-1,-1,-1,167,0,199,471,122,403,-1,-1,-1
21983,0,290,0,0,881,0,0,0,0,147,0,380,153,848,0,227,0,0,0,709,0,0,1,61,14,0,68,46,0,271,374,348,396,0,911,315,100000003,100000003,316
22470,-1,-1,-1,0,0,0,0,0,0,147,0,0,0,848,342,-1,-1,-1,0,100000006,100000006,126,197,234,165,0,0,359,0,0,0,0,199,471,0,182,-1,-1,-1
22716,0,290,0,49,0,0,0,0,0,147,61,140,0,848,0,0,170,0,0,709,0,-1,-1,-1,27,0,477,0,8,0,579,36,396,0,570,151,100000003,100000003,51
22848,0,0,0,0,0,0,0,0,0,-1,-1,-1,223,848,0,-1,-1,-1,-1,-1,-1,126,0,0,141,351,0,-1,-1,-1,-1,-1,-1,471,237,421,-1,-1,-1
22992,-1,-1,-1,478,0,0,0,603,0,147,61,0,0,848,84,0,170,806,187,709,0,122,0,0,247,0,35,100000005,-1,100000005,0,36,396,374,570,102,100000003,100000003,51
23437,0,4,0,333,0,0,0,0,0,147,639,0,-1,-1,-1,-1,-1,-1,0,100000006,100000006,126,0,0,0,61,0,359,0,0,0,0,199,471,18,0,-1,-1,-1
24586,0,0,0,-1,-1,-1,436,223,0,-1,-1,-1,-1,-1,-1,319,0,13,0,0,0,126,0,0,-1,-1,-1,14,223,0,7,0,2,438,300,155,619,49,97
25427,0,0,0,16,0,0,0,0,0,147,0,0,0,848,14,0,156,0,0,100000006,100000006,126,0,0,0,0,0,359,361,91,-1,-1,-1,251,544,0,0,601,66
25679,0,0,0,461,0,0,0,223,0,147,0,0,-1,-1,-1,324,0,0,160,0,0,126,181,0,0,100000006,100000006,0,103,11,0,46,2,247,300,0,-1,-1,-1
