,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
3728,0,174,0,0,281,0,-1,-1,-1,0,317,0,0,134,0,-1,-1,-1,661,0,0,750,0,0,726,740,0,0,73,0,417,453,42,-1,-1,-1,-1,-1,-1
6312,0,0,0,565,0,0,0,0,168,0,721,148,0,0,0,100000005,-1,100000005,0,128,29,0,0,290,726,0,485,0,73,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
6406,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,118,134,0,0,0,14,661,492,0,0,0,0,726,740,0,0,73,817,0,0,42,31,49,216,100000003,100000003,88
8005,0,0,670,0,281,0,0,0,0,-1,-1,-1,-1,-1,-1,0,231,191,661,0,0,183,0,0,726,740,280,0,73,0,25,361,42,-1,-1,-1,15,260,88
8447,0,0,0,62,0,0,0,0,0,0,0,0,0,0,87,0,0,0,270,308,29,-1,-1,-1,726,350,0,506,73,0,-1,-1,-1,0,419,584,104,0,88
12736,-1,-1,-1,0,0,0,0,95,0,-1,-1,-1,168,15,0,-1,-1,-1,-1,-1,-1,507,0,517,0,0,164,0,34,128,-1,-1,-1,100000003,100000003,240,471,808,88
13259,-1,-1,-1,62,0,0,48,0,0,0,533,0,0,0,87,0,0,0,0,0,29,0,128,84,726,0,0,0,73,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
14846,0,0,0,0,0,0,-1,-1,-1,22,0,0,0,134,302,19,0,126,661,356,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,42,-1,-1,-1,324,107,88
14867,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,134,0,0,0,1,661,0,0,39,0,0,726,740,0,0,73,157,0,0,42,0,49,50,130,925,88
18642,0,0,0,0,281,0,0,0,0,0,0,0,0,134,0,9,0,0,661,0,0,-1,-1,-1,726,740,0,0,73,0,61,50,42,250,49,50,130,120,88
20009,0,0,0,-1,-1,-1,-1,-1,-1,63,0,0,-1,-1,-1,0,0,286,0,0,29,0,128,829,726,0,0,-1,-1,-1,-1,-1,-1,0,419,584,104,204,88
20756,0,0,0,100000005,-1,100000005,204,0,168,0,721,0,-1,-1,-1,0,0,139,390,0,29,0,363,354,726,493,184,174,73,0,-1,-1,-1,-1,-1,-1,104,216,88
20962,0,0,0,0,281,0,0,198,0,0,0,0,735,134,0,0,0,845,661,0,0,-1,-1,-1,726,740,62,62,73,0,417,0,42,-1,-1,-1,8,336,88
22699,0,0,0,0,410,0,0,95,0,0,757,0,0,63,277,47,0,0,0,0,0,0,38,28,0,0,0,0,0,128,-1,-1,-1,692,0,240,-1,-1,-1
23495,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,63,324,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,697,82,128,-1,-1,-1,692,552,240,471,209,88
23775,-1,-1,-1,62,0,0,0,0,258,-1,-1,-1,58,0,87,0,0,0,-1,-1,-1,0,128,285,726,0,177,-1,-1,-1,-1,-1,-1,0,419,584,104,333,88
24019,-1,-1,-1,62,0,154,-1,-1,-1,0,0,0,58,0,87,112,0,0,146,0,29,0,128,285,726,0,177,0,73,255,-1,-1,-1,-1,-1,-1,104,333,88
25585,-1,-1,-1,0,0,156,-1,-1,-1,0,1,0,0,134,0,-1,-1,-1,0,0,0,0,382,0,726,310,0,0,73,463,0,0,136,-1,-1,-1,234,162,88
25876,0,205,0,-1,-1,-1,0,0,0,0,0,0,0,263,0,0,0,19,0,0,29,0,0,0,726,0,101,100000005,-1,100000005,-1,-1,-1,404,419,534,699,74,88
26579,0,0,0,-1,-1,-1,204,0,168,0,721,0,0,193,0,487,0,0,0,0,29,0,363,0,726,2,184,174,73,0,-1,-1,-1,0,419,584,104,441,88
26993,0,0,0,0,0,0,0,0,0,0,0,174,-1,-1,-1,0,0,379,99,0,29,-1,-1,-1,726,638,228,0,73,0,-1,-1,-1,0,419,584,104,0,88
27040,0,0,678,-1,-1,-1,0,95,0,97,757,271,0,63,413,0,0,0,0,106,0,65,0,28,94,0,493,17,0,128,-1,-1,-1,692,46,240,471,52,88
27759,0,0,0,0,0,152,-1,-1,-1,0,190,0,-1,-1,-1,561,0,0,0,115,0,0,100000006,100000006,0,0,0,165,590,128,-1,-1,-1,723,596,240,471,0,88
28708,0,0,186,-1,-1,-1,0,0,0,-1,-1,-1,632,0,87,236,0,0,0,0,29,300,128,0,-1,-1,-1,0,73,229,-1,-1,-1,0,419,584,104,366,88
28809,-1,-1,-1,0,0,0,0,183,0,0,0,0,0,0,0,100,0,0,0,520,29,-1,-1,-1,-1,-1,-1,0,73,4,-1,-1,-1,26,419,584,104,627,88
29147,-1,-1,-1,22,0,471,0,21,0,0,0,0,0,134,0,341,283,725,0,72,521,0,685,0,726,112,0,144,73,0,123,100000006,100000006,-1,-1,-1,706,873,88
29498,0,0,0,0,0,0,-1,-1,-1,353,0,109,-1,-1,-1,0,0,0,0,0,0,0,91,0,726,0,0,0,73,463,0,411,0,284,77,105,234,6,88
29702,0,205,0,0,544,104,-1,-1,-1,0,0,82,161,0,0,4,0,210,613,0,29,0,0,37,726,9,0,100000005,-1,100000005,0,0,101,-1,-1,-1,61,210,88
29755,0,0,0,0,0,0,70,0,168,0,721,0,0,0,329,0,17,0,0,4,29,0,0,117,-1,-1,-1,0,73,0,-1,-1,-1,0,419,584,-1,-1,-1
29912,-1,-1,-1,0,76,0,0,0,740,-1,-1,-1,125,134,551,-1,-1,-1,24,246,0,0,149,6,-1,-1,-1,0,73,510,156,0,0,284,40,0,119,84,88
30256,-1,-1,-1,-1,-1,-1,0,798,0,0,5,0,0,263,258,0,0,0,0,0,29,0,132,0,726,0,101,100000005,-1,100000005,0,71,156,-1,-1,-1,191,74,88
30406,0,0,0,0,0,0,0,0,0,0,0,0,0,134,21,291,329,0,0,26,276,-1,-1,-1,726,24,171,2,73,0,0,100000006,100000006,0,100000006,100000006,706,873,88
30697,-1,-1,-1,-1,-1,-1,394,0,0,0,0,0,0,134,0,13,0,0,661,0,0,100000003,100000003,0,-1,-1,-1,527,73,215,341,160,42,285,0,140,24,107,88
30953,0,0,0,0,0,582,0,0,0,0,0,350,0,134,0,0,0,0,0,800,0,0,0,607,726,0,0,84,73,181,-1,-1,-1,0,0,224,706,299,88
