,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
5650,0,0,0,0,306,0,0,0,0,0,0,0,0,243,0,114,25,0,0,29,18,669,0,172,0,379,31,0,186,0,100000003,100000003,161,0,400,0,0,105,128
7644,-1,-1,-1,109,0,0,731,0,593,237,0,0,337,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,26,765,115,381,614,0,161,554,318,0,304,320,10
9926,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,195,172,-1,-1,-1,61,0,813,0,6,161,-1,-1,-1,0,5,760
10122,0,0,0,214,0,0,0,278,593,0,0,0,0,7,0,0,0,0,0,345,705,-1,-1,-1,0,0,142,235,56,13,0,0,161,347,44,422,0,115,196
10419,0,0,151,-1,-1,-1,0,0,593,-1,-1,-1,0,0,0,-1,-1,-1,0,345,7,-1,-1,-1,0,0,0,100000003,100000003,813,420,0,161,233,44,35,0,5,84
11058,0,0,0,-1,-1,-1,731,0,593,0,0,0,210,579,211,26,556,0,0,345,576,0,0,172,0,0,0,0,0,381,614,119,161,-1,-1,-1,-1,-1,-1
11636,-1,-1,-1,0,306,0,186,0,0,535,0,0,138,243,0,114,0,0,100000005,-1,100000005,0,0,172,0,379,0,43,186,46,100000003,100000003,161,178,400,0,40,84,128
12187,0,0,12,0,0,279,0,0,593,0,0,0,0,0,133,0,0,0,120,345,330,5,0,172,0,0,139,-1,-1,-1,621,57,161,18,44,35,143,5,77
12362,0,0,0,0,306,0,0,0,0,0,0,162,794,243,0,114,0,0,0,0,422,39,0,172,115,0,0,0,186,247,0,0,161,0,400,0,247,117,128
12934,-1,-1,-1,214,0,0,-1,-1,-1,0,0,0,212,0,0,0,261,0,-1,-1,-1,0,0,172,-1,-1,-1,-1,-1,-1,-1,-1,-1,347,44,0,106,115,521
15398,0,0,0,-1,-1,-1,0,43,0,56,0,0,0,243,0,114,0,0,-1,-1,-1,-1,-1,-1,0,0,41,0,186,0,100000003,100000003,161,3,400,0,100000003,100000003,128
16552,0,0,0,55,0,0,0,0,0,100000005,-1,100000005,14,24,0,0,0,0,100000005,-1,100000005,0,356,172,0,0,326,200,0,163,0,2,161,406,100000006,100000006,304,0,402
19502,0,0,0,0,0,290,356,0,593,0,0,0,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,-1,-1,-1,-1,-1,-1,0,44,35,143,5,442
19600,0,0,0,0,0,43,-1,-1,-1,0,0,0,0,0,180,0,0,0,0,345,576,0,0,172,99,168,0,0,0,92,614,119,161,554,24,261,214,0,10
20273,0,0,0,0,300,0,616,0,35,0,578,0,14,600,0,502,0,0,0,0,0,0,28,172,0,0,88,-1,-1,-1,90,2,161,102,100000006,100000006,304,318,402
21065,0,0,0,0,319,51,356,17,593,0,0,0,82,0,0,0,503,60,120,345,6,-1,-1,-1,105,0,285,0,495,0,0,801,161,-1,-1,-1,143,5,283
22704,0,0,296,0,0,0,0,0,0,0,578,0,14,27,40,607,733,9,100000003,100000003,0,-1,-1,-1,-1,-1,-1,0,396,167,30,2,161,141,100000006,100000006,304,66,402
23665,0,0,0,0,0,0,356,14,593,0,0,149,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,272,46,295,495,0,-1,-1,-1,1,44,35,143,5,111
24078,0,0,0,0,300,0,0,0,35,0,578,0,14,0,0,0,0,0,0,0,104,0,149,172,0,0,0,0,443,0,31,2,161,102,100000006,100000006,-1,-1,-1
24589,0,0,296,0,0,0,-1,-1,-1,0,578,0,14,27,0,0,0,9,100000003,100000003,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,2,161,141,100000006,100000006,304,66,402
24673,-1,-1,-1,109,139,0,731,0,593,0,103,589,730,0,0,-1,-1,-1,20,345,576,0,234,172,0,625,26,0,115,381,614,734,161,-1,-1,-1,304,181,10
25943,0,0,0,0,0,0,731,0,593,363,0,0,893,67,447,642,447,0,0,345,576,-1,-1,-1,-1,-1,-1,0,292,381,614,0,161,554,275,58,304,513,10
26211,-1,-1,-1,0,0,0,0,4,593,7,0,0,0,0,0,-1,-1,-1,0,345,0,70,0,172,100000005,-1,100000005,136,96,813,88,0,161,233,44,35,0,5,0
26446,0,0,0,0,300,705,0,0,35,0,578,46,14,307,0,765,186,0,0,0,0,-1,-1,-1,3,340,150,0,0,0,0,2,161,102,100000006,100000006,-1,-1,-1
26471,0,0,296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,9,100000003,100000003,0,-1,-1,-1,-1,-1,-1,19,264,0,30,2,161,215,100000006,100000006,304,66,402
26607,0,0,345,0,680,411,-1,-1,-1,16,0,0,0,0,180,0,0,0,0,345,576,270,0,172,480,168,330,-1,-1,-1,614,119,161,554,443,261,214,47,10
27714,0,0,576,214,0,0,0,0,593,-1,-1,-1,-1,-1,-1,0,486,527,0,345,705,138,5,172,99,0,0,-1,-1,-1,0,0,161,347,44,84,0,115,238
28147,0,0,0,0,0,0,356,0,593,0,0,0,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,71,0,0,495,0,0,801,161,0,44,35,143,5,111
28652,0,0,0,0,0,0,731,0,593,-1,-1,-1,0,67,389,642,0,0,0,345,576,0,186,172,0,0,80,94,0,381,614,346,161,554,0,27,304,119,10
29038,0,0,0,455,0,0,356,0,593,0,0,341,-1,-1,-1,0,0,60,120,345,6,-1,-1,-1,105,0,0,0,495,0,-1,-1,-1,89,44,35,143,5,0
30190,0,0,0,150,0,0,0,0,0,46,0,0,0,144,0,0,222,0,0,54,60,0,333,172,0,0,306,0,53,9,0,23,161,7,100000006,100000006,627,80,402
31962,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0,0,60,-1,-1,-1,-1,-1,-1,105,0,222,81,495,0,31,801,161,-1,-1,-1,143,5,442
33379,0,0,11,0,0,0,356,0,593,0,0,0,0,0,143,0,87,60,120,345,6,-1,-1,-1,105,0,0,0,495,0,0,801,161,2,44,35,-1,-1,-1
34039,0,0,0,0,0,290,356,0,593,0,0,0,0,122,587,0,0,60,120,345,6,-1,-1,-1,105,0,0,0,495,131,0,801,161,0,44,35,-1,-1,-1
34301,0,0,89,0,0,0,356,0,593,0,0,0,0,0,66,586,0,60,120,345,6,-1,-1,-1,105,0,0,75,495,0,-1,-1,-1,61,44,35,143,5,509
34902,0,0,296,0,0,0,0,20,0,0,578,37,14,27,0,0,0,9,100000003,100000003,0,-1,-1,-1,-1,-1,-1,0,0,167,-1,-1,-1,141,100000006,100000006,304,66,402
35517,0,0,0,0,306,0,0,0,353,0,0,162,794,243,0,114,0,0,0,0,422,-1,-1,-1,115,0,0,282,186,247,100000003,100000003,161,0,400,0,247,0,128
36348,-1,-1,-1,0,664,0,356,102,593,0,0,0,20,460,0,0,0,60,120,345,6,-1,-1,-1,105,0,123,229,495,88,0,801,161,-1,-1,-1,143,5,43
36437,0,0,0,0,0,0,-1,-1,-1,0,0,0,114,0,180,0,0,38,0,345,576,0,0,172,0,168,0,-1,-1,-1,614,55,161,554,549,261,214,180,10
36889,0,0,0,0,0,0,356,17,593,0,0,459,0,0,0,387,503,60,120,345,6,-1,-1,-1,105,0,285,0,495,0,109,801,161,0,44,35,-1,-1,-1
38101,0,0,0,0,664,572,356,0,593,0,0,0,0,460,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,197,495,88,0,801,161,994,44,35,143,5,43
38163,0,0,0,0,300,108,-1,-1,-1,410,578,0,14,0,0,0,0,0,0,128,31,-1,-1,-1,50,0,0,36,0,486,0,2,161,-1,-1,-1,304,360,402
38816,0,0,0,0,300,753,25,0,35,410,578,0,-1,-1,-1,850,0,0,0,0,0,99,0,172,50,0,0,0,0,486,-1,-1,-1,102,100000006,100000006,304,360,402
38861,0,0,0,0,0,0,356,0,593,0,0,695,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,0,495,225,262,801,161,0,44,35,143,5,111
39166,0,0,151,0,0,0,0,0,593,0,0,106,577,20,0,0,0,0,0,345,106,649,1,172,616,0,13,0,7,813,0,0,161,233,44,35,-1,-1,-1
39421,0,0,0,0,0,0,356,0,593,325,0,0,0,790,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,0,495,0,154,801,161,0,44,35,143,5,523
39489,0,0,0,0,0,0,356,0,593,0,0,6,0,0,0,586,0,60,120,345,6,-1,-1,-1,105,893,0,0,495,796,-1,-1,-1,61,44,35,143,5,633
39769,-1,-1,-1,0,0,0,356,0,593,0,207,0,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,71,0,0,495,53,291,801,161,65,44,35,143,5,111
40022,0,0,0,0,319,0,356,17,593,237,745,0,0,0,0,0,503,60,120,345,6,-1,-1,-1,-1,-1,-1,0,495,0,0,801,161,0,44,35,143,5,519
40098,0,0,0,34,0,0,356,0,593,325,0,64,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,184,495,0,0,801,161,0,44,35,143,5,523
40204,0,0,0,520,664,0,356,0,593,0,0,0,-1,-1,-1,0,118,60,120,345,6,-1,-1,-1,105,0,0,6,495,88,0,801,161,40,44,35,-1,-1,-1
40509,0,0,0,0,0,0,-1,-1,-1,0,0,0,108,0,180,-1,-1,-1,0,345,576,0,0,172,-1,-1,-1,0,0,92,614,119,161,554,0,261,214,0,10
40582,0,0,11,0,134,0,356,0,593,0,0,0,0,0,0,4,0,60,120,345,6,-1,-1,-1,105,0,0,0,495,0,0,801,161,2,44,35,-1,-1,-1
40697,0,0,0,0,0,0,356,651,593,-1,-1,-1,0,0,0,139,0,60,120,345,6,-1,-1,-1,105,18,0,0,495,0,0,801,161,0,44,35,143,5,0
41056,0,0,0,0,0,0,356,0,593,0,0,0,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,-1,-1,-1,0,801,161,-1,-1,-1,-1,-1,-1
41697,0,0,0,0,0,0,356,0,593,2,0,0,0,0,0,0,5,60,-1,-1,-1,-1,-1,-1,105,0,321,0,495,0,0,801,161,0,44,35,143,5,0
42646,0,0,0,0,0,0,-1,-1,-1,573,0,0,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,0,495,0,0,801,161,-1,-1,-1,143,5,0
42976,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,120,345,6,-1,-1,-1,-1,-1,-1,563,495,0,0,801,161,426,44,35,143,5,111
43025,0,0,171,0,0,0,356,0,593,0,0,0,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,-1,-1,-1,0,801,161,-1,-1,-1,143,5,442
43548,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,220,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,104,495,0,0,801,161,353,44,35,143,5,0
43586,-1,-1,-1,0,0,0,356,0,593,0,100000006,100000006,280,0,0,-1,-1,-1,120,345,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,116,801,161,61,44,35,143,5,63
43988,0,0,0,0,0,0,356,0,593,11,0,328,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,-1,-1,-1,0,801,161,-1,-1,-1,143,5,442
44234,0,0,0,0,0,0,731,0,593,0,0,0,-1,-1,-1,0,220,0,0,345,576,0,811,172,0,531,0,0,0,381,614,119,161,554,0,116,304,0,10
44977,0,0,0,-1,-1,-1,0,0,593,0,0,0,-1,-1,-1,0,13,0,-1,-1,-1,47,29,172,0,0,326,356,0,813,132,98,161,233,44,35,100000005,-1,100000005
45347,0,0,0,0,0,123,0,320,593,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,168,10,0,0,0,614,317,161,554,99,261,214,3,10
45615,0,0,0,0,0,0,356,0,593,-1,-1,-1,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,0,495,2,0,801,161,-1,-1,-1,143,5,111
45702,0,0,171,0,0,0,356,108,593,0,0,0,0,0,0,-1,-1,-1,120,345,6,-1,-1,-1,105,0,0,81,495,0,0,801,161,-1,-1,-1,143,5,442
45857,0,0,0,0,0,0,356,0,593,87,0,0,0,0,0,0,0,60,120,345,6,-1,-1,-1,105,0,0,0,495,0,291,801,161,0,44,35,143,5,111
45962,0,0,0,0,0,0,356,0,593,0,349,389,0,0,0,0,31,60,120,345,6,-1,-1,-1,105,0,86,0,495,0,291,801,161,0,44,35,143,5,111
46085,0,0,0,0,0,0,-1,-1,-1,845,8,0,0,67,389,642,0,0,0,345,576,0,186,172,0,13,80,94,39,381,-1,-1,-1,-1,-1,-1,-1,-1,-1
46166,0,0,0,-1,-1,-1,-1,-1,-1,56,0,0,0,243,0,114,0,0,0,0,0,160,427,172,0,0,41,100000005,-1,100000005,100000003,100000003,161,3,400,0,-1,-1,-1
46168,0,0,0,259,0,0,356,0,593,0,0,0,0,0,165,0,0,60,120,345,6,-1,-1,-1,105,0,179,81,495,0,260,801,161,-1,-1,-1,143,5,442
