,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
6830,0,0,0,0,107,395,-1,-1,-1,0,178,0,0,0,0,324,1,0,97,0,183,0,157,100,0,0,245,0,0,442,0,748,714,-1,-1,-1,-1,-1,-1
7830,0,310,59,0,0,0,0,294,0,212,178,0,-1,-1,-1,324,0,85,646,0,209,0,545,25,285,551,0,0,315,109,-1,-1,-1,9,351,214,-1,-1,-1
12153,-1,-1,-1,0,0,0,0,294,0,212,178,0,466,12,0,324,0,85,0,0,0,0,428,25,0,551,0,0,0,109,-1,-1,-1,-1,-1,-1,152,347,148
15840,0,0,0,0,636,0,0,0,0,-1,-1,-1,0,0,0,324,1,0,0,71,183,0,31,488,-1,-1,-1,0,644,17,0,716,714,611,100000006,100000006,-1,-1,-1
16652,0,0,239,100000005,-1,100000005,0,0,26,130,178,370,0,10,183,324,1,32,0,689,183,-1,-1,-1,180,1,502,343,100000006,100000006,479,507,714,29,41,255,-1,-1,-1
18937,0,0,0,0,636,0,0,0,0,330,178,0,0,0,28,324,1,0,345,71,183,0,31,7,0,88,0,0,644,0,-1,-1,-1,611,100000006,100000006,621,13,0
19165,0,50,0,0,73,0,36,0,0,212,178,182,-1,-1,-1,324,1,612,0,0,183,0,31,0,0,159,575,559,34,0,0,197,714,-1,-1,-1,17,13,402
20794,0,0,0,0,636,0,0,0,0,0,178,0,0,0,630,-1,-1,-1,0,71,183,0,31,30,0,29,0,90,644,0,0,716,714,-1,-1,-1,621,13,259
20878,-1,-1,-1,-1,-1,-1,0,0,74,0,178,0,0,0,109,324,1,123,0,0,183,594,0,0,100000005,-1,100000005,499,0,442,361,99,714,29,116,78,-1,-1,-1
21538,0,0,0,211,236,0,-1,-1,-1,0,178,0,0,0,0,-1,-1,-1,0,153,183,0,31,0,0,556,195,-1,-1,-1,473,350,714,100000005,-1,100000005,100000005,-1,100000005
21540,0,0,0,24,0,36,0,0,74,0,178,372,0,576,0,324,1,56,0,120,183,594,0,0,0,0,0,0,0,442,361,99,714,29,0,445,90,13,168
21944,0,0,0,-1,-1,-1,-1,-1,-1,0,178,0,-1,-1,-1,324,1,32,0,0,183,0,31,0,0,264,0,100000005,-1,100000005,657,350,714,100000005,-1,100000005,100000005,-1,100000005
22110,0,0,111,0,0,31,51,0,0,0,178,520,441,18,228,324,1,0,173,71,183,0,31,0,0,414,0,390,644,0,0,0,714,0,100000006,100000006,621,13,674
22315,0,0,0,0,636,0,0,0,369,0,178,0,-1,-1,-1,-1,-1,-1,0,71,183,0,31,0,0,0,0,0,644,206,0,716,714,611,100000006,100000006,-1,-1,-1
22478,-1,-1,-1,-1,-1,-1,0,294,0,212,178,0,85,12,0,324,0,85,-1,-1,-1,2,404,25,133,551,0,0,269,109,238,353,714,97,171,214,0,730,368
24107,0,50,0,0,98,0,36,0,169,56,178,0,-1,-1,-1,324,1,424,0,0,183,-1,-1,-1,0,183,0,0,34,0,0,139,714,-1,-1,-1,-1,-1,-1
24454,0,0,59,210,0,0,0,294,170,212,178,0,0,12,0,324,0,85,0,0,0,0,4,25,133,551,418,141,0,109,-1,-1,-1,0,0,214,143,19,368
25633,0,0,0,30,0,0,-1,-1,-1,-1,-1,-1,0,0,108,324,1,73,0,0,183,0,31,0,-1,-1,-1,139,417,433,-1,-1,-1,100000005,-1,100000005,67,13,133
25734,-1,-1,-1,0,0,36,0,0,179,248,178,0,-1,-1,-1,324,1,88,0,0,183,91,0,0,78,552,0,0,0,442,154,99,714,-1,-1,-1,22,13,168
27489,-1,-1,-1,0,0,28,179,0,0,-1,-1,-1,0,0,0,324,1,313,-1,-1,-1,0,0,0,172,4,0,0,0,442,0,65,714,29,240,47,640,13,168
27897,0,0,0,100000003,100000003,0,179,0,6,0,178,0,79,0,496,324,1,0,0,0,183,0,0,0,68,527,0,100000003,100000003,442,353,0,714,29,240,0,98,13,168
27905,0,0,0,59,636,2,0,0,69,423,178,0,0,801,0,324,1,0,0,71,183,0,31,895,333,0,0,-1,-1,-1,0,716,714,-1,-1,-1,621,13,636
28627,-1,-1,-1,-1,-1,-1,0,0,0,0,178,0,673,816,0,324,1,0,0,71,183,188,31,116,0,0,0,-1,-1,-1,0,716,714,-1,-1,-1,621,13,55
28979,0,0,0,0,636,0,-1,-1,-1,0,178,0,-1,-1,-1,324,1,0,345,71,183,0,31,0,355,353,0,-1,-1,-1,190,716,714,-1,-1,-1,621,13,0
29339,-1,-1,-1,105,73,0,36,0,0,0,178,0,-1,-1,-1,324,1,0,0,0,183,0,31,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,281,13,402
29548,0,0,0,30,0,0,0,0,0,453,178,0,0,0,387,324,1,73,0,42,183,246,31,209,-1,-1,-1,139,417,353,-1,-1,-1,100000005,-1,100000005,67,13,27
29674,0,0,0,0,636,0,0,0,0,0,178,47,0,96,0,324,1,0,0,71,183,0,31,9,0,0,0,-1,-1,-1,289,716,714,611,100000006,100000006,621,13,259
30983,0,603,0,0,239,0,0,0,94,0,178,0,268,24,0,-1,-1,-1,8,71,183,0,31,0,0,0,171,406,0,508,0,0,714,100000003,100000003,160,177,13,260
31157,0,0,0,0,636,256,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,71,183,693,31,0,-1,-1,-1,47,644,842,0,716,714,-1,-1,-1,621,13,259
32512,0,0,59,-1,-1,-1,46,294,0,-1,-1,-1,-1,-1,-1,324,137,85,0,0,777,0,169,25,0,551,0,0,0,109,238,0,714,0,476,214,196,129,95
32793,0,0,0,30,0,635,0,0,160,453,178,44,0,0,0,-1,-1,-1,0,0,183,-1,-1,-1,0,698,34,139,417,0,-1,-1,-1,100000005,-1,100000005,67,13,174
33595,-1,-1,-1,0,636,0,0,30,105,0,178,93,673,0,0,-1,-1,-1,0,71,183,812,31,278,0,98,42,90,644,0,0,716,714,611,100000006,100000006,-1,-1,-1
33692,0,50,0,0,73,0,36,0,0,212,178,182,-1,-1,-1,324,1,0,0,0,183,0,31,0,0,159,575,-1,-1,-1,0,197,714,-1,-1,-1,17,13,402
33823,0,0,0,-1,-1,-1,0,39,74,0,178,58,693,0,0,324,1,0,0,0,183,594,0,0,0,0,594,-1,-1,-1,68,99,714,29,579,0,0,13,168
34034,0,0,0,30,214,0,0,0,0,0,178,0,0,0,0,324,1,73,-1,-1,-1,-1,-1,-1,70,0,34,-1,-1,-1,-1,-1,-1,100000005,-1,100000005,67,13,99
34841,0,0,475,-1,-1,-1,584,0,0,-1,-1,-1,0,0,0,324,1,0,0,71,183,-1,-1,-1,464,0,35,80,644,0,706,716,714,-1,-1,-1,-1,-1,-1
35812,0,0,0,0,636,0,38,0,248,-1,-1,-1,0,216,0,324,1,57,358,71,183,226,31,0,-1,-1,-1,0,644,10,0,716,714,611,100000006,100000006,621,13,259
35882,0,303,59,0,259,0,0,294,0,212,178,0,0,12,0,324,0,85,343,643,0,50,0,25,0,551,0,0,846,109,-1,-1,-1,19,97,214,346,347,148
