,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
7315,0,0,0,0,0,0,0,0,114,176,0,468,0,467,135,-1,-1,-1,-1,-1,-1,0,129,383,14,0,218,-1,-1,-1,109,583,326,100000005,-1,100000005,120,0,459
7370,0,518,0,13,0,321,0,0,0,-1,-1,-1,104,0,0,356,509,14,0,33,0,17,440,0,0,339,218,0,0,413,-1,-1,-1,100000005,-1,100000005,-1,-1,-1
9999,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,260,0,0,0,536,210,0,96,0,120,0,0,224,99,73,0,356,195,191,581,128,0,459
10059,-1,-1,-1,191,0,451,476,0,402,0,109,0,0,38,0,-1,-1,-1,-1,-1,-1,0,0,0,301,0,16,0,0,78,275,236,195,123,251,41,101,775,459
10430,-1,-1,-1,0,0,585,0,0,0,0,0,0,622,0,0,0,0,0,-1,-1,-1,0,57,0,212,119,896,-1,-1,-1,109,0,0,-1,-1,-1,48,723,459
14580,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,104,0,0,0,0,0,0,33,0,0,773,0,0,339,218,0,0,413,-1,-1,-1,0,311,44,162,169,459
14950,0,388,0,0,0,0,163,17,0,-1,-1,-1,-1,-1,-1,545,0,0,0,33,67,0,129,383,126,219,218,0,0,413,109,192,326,-1,-1,-1,0,91,459
15178,0,0,0,0,0,0,0,61,48,-1,-1,-1,0,0,59,-1,-1,-1,0,33,191,0,37,0,-1,-1,-1,-1,-1,-1,109,285,406,465,38,0,-1,-1,-1
16573,0,0,0,0,0,0,0,0,0,260,0,0,0,0,659,156,0,0,0,94,0,66,0,0,252,120,0,0,314,228,0,294,314,312,191,119,128,0,459
17286,0,0,0,498,0,0,0,0,0,-1,-1,-1,0,557,16,0,0,0,0,0,210,66,0,0,252,120,0,0,314,293,304,294,314,312,191,0,-1,-1,-1
18343,0,225,0,0,248,0,498,0,0,0,0,328,522,0,0,-1,-1,-1,0,33,191,0,0,219,212,85,205,-1,-1,-1,-1,-1,-1,0,193,119,-1,-1,-1
19257,-1,-1,-1,0,0,0,212,0,0,260,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,179,0,0,120,190,300,314,0,61,294,314,312,191,330,128,0,459
20801,0,0,208,0,0,0,100000005,-1,100000005,260,0,0,0,0,0,0,0,0,0,0,0,66,0,0,-1,-1,-1,0,314,0,0,294,314,312,191,119,128,0,459
21089,0,0,0,-1,-1,-1,0,0,529,360,0,0,104,0,0,356,388,0,0,33,162,0,0,36,0,339,218,0,0,413,109,317,330,0,0,48,162,65,459
21519,0,0,0,0,0,778,-1,-1,-1,-1,-1,-1,0,0,0,27,0,517,347,33,0,-1,-1,-1,854,0,218,460,10,413,-1,-1,-1,419,0,63,295,1,459
22445,0,0,0,191,48,0,-1,-1,-1,0,0,0,0,0,0,100000005,-1,100000005,0,149,0,12,0,338,0,0,494,-1,-1,-1,0,236,306,-1,-1,-1,100000003,100000003,459
23259,0,0,0,0,0,0,0,442,0,0,0,0,-1,-1,-1,0,0,0,244,33,191,0,57,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,802,0,723,459
23984,0,0,0,0,0,0,163,0,0,-1,-1,-1,0,0,0,545,0,0,0,33,67,0,129,383,101,0,218,12,220,413,109,273,326,0,122,115,27,0,459
24223,-1,-1,-1,0,0,0,163,363,0,0,149,0,0,0,0,-1,-1,-1,0,33,67,358,129,383,0,0,218,0,674,413,109,0,326,0,122,115,105,91,459
24811,0,0,0,0,0,0,0,0,0,176,0,0,0,467,135,545,0,0,0,33,67,36,129,383,0,0,218,141,124,413,109,0,326,0,122,0,0,123,459
25079,0,0,0,191,48,0,0,0,196,-1,-1,-1,0,3,0,0,0,0,0,146,684,0,16,0,18,0,216,-1,-1,-1,2,236,1,0,16,41,864,0,459
26349,-1,-1,-1,0,0,1,0,0,0,260,0,745,-1,-1,-1,0,260,0,0,99,346,387,0,0,0,120,391,0,0,99,-1,-1,-1,-1,-1,-1,128,0,459
26424,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,120,0,-1,-1,-1,0,156,0,276,20,0,-1,-1,-1,-1,-1,-1,0,127,0,195,191,621,128,161,459
26624,0,0,0,13,0,0,0,0,0,0,0,0,-1,-1,-1,356,0,0,0,33,0,0,211,793,0,339,218,0,0,413,109,0,119,0,0,0,-1,-1,-1
27007,0,0,0,-1,-1,-1,-1,-1,-1,260,0,0,0,0,0,0,0,45,102,0,97,66,0,0,252,120,0,350,314,41,0,294,314,312,191,119,128,0,459
28013,0,0,9,-1,-1,-1,72,0,0,260,0,0,0,172,0,0,260,0,0,159,37,100000005,-1,100000005,0,120,21,0,0,0,313,0,0,195,191,19,128,0,459
28135,0,0,0,-1,-1,-1,0,0,0,260,206,0,0,0,241,0,40,0,0,250,0,66,0,0,261,120,0,251,258,22,82,294,0,97,191,524,-1,-1,-1
