,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
3285,0,0,0,67,0,0,0,565,0,152,0,0,417,0,0,-1,-1,-1,0,133,0,0,361,22,47,100000006,100000006,0,408,0,0,31,15,-1,-1,-1,0,180,183
8011,-1,-1,-1,0,0,0,129,6,0,136,0,433,174,254,0,0,108,0,0,0,0,0,162,187,0,250,0,0,15,76,123,52,30,0,0,0,124,1,135
9618,-1,-1,-1,0,0,0,0,0,321,-1,-1,-1,0,0,0,108,0,0,0,521,0,17,100000006,100000006,0,758,0,75,0,0,100000005,-1,100000005,-1,-1,-1,-1,-1,-1
10591,0,0,0,0,0,0,0,6,0,48,105,433,192,0,244,401,0,0,-1,-1,-1,0,618,0,505,65,27,67,0,76,79,52,171,-1,-1,-1,-1,-1,-1
10776,0,0,0,-1,-1,-1,0,313,0,177,413,220,-1,-1,-1,12,0,0,0,0,0,0,591,22,0,100000006,100000006,-1,-1,-1,0,133,0,0,138,15,258,96,183
14247,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,657,0,0,0,153,0,758,-1,-1,-1,0,211,33,0,446,227,180,0,0,315,60,256,423,134,183
14898,0,0,257,67,103,0,-1,-1,-1,0,324,256,-1,-1,-1,325,0,119,0,36,0,0,212,22,338,100000006,100000006,0,0,133,296,10,255,-1,-1,-1,258,337,183
15278,-1,-1,-1,67,0,0,-1,-1,-1,152,836,0,8,0,0,0,0,0,0,0,0,0,0,22,-1,-1,-1,100000005,-1,100000005,0,559,15,100000005,-1,100000005,0,68,183
16216,0,0,0,0,176,130,0,455,0,0,694,667,0,0,0,271,0,0,0,0,121,0,0,0,159,0,467,75,0,0,120,147,0,100000005,-1,100000005,-1,-1,-1
16435,0,0,0,67,0,0,-1,-1,-1,152,836,0,-1,-1,-1,0,0,0,0,0,0,679,0,22,-1,-1,-1,100000005,-1,100000005,0,559,15,100000005,-1,100000005,0,68,183
17387,0,0,48,67,0,0,-1,-1,-1,152,836,0,0,22,0,0,0,0,0,0,0,0,0,22,110,100000006,100000006,100000005,-1,100000005,0,559,15,-1,-1,-1,423,68,183
18192,0,0,534,-1,-1,-1,25,455,0,80,0,433,-1,-1,-1,0,174,0,154,0,0,211,607,0,0,239,166,0,100000006,100000006,-1,-1,-1,-1,-1,-1,178,276,754
18492,0,0,0,0,0,0,40,6,0,249,105,433,0,0,0,-1,-1,-1,-1,-1,-1,42,0,0,0,375,27,0,285,76,455,52,619,641,392,0,124,33,10
20425,0,0,18,33,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,59,-1,-1,-1,0,0,219,0,21,0,100000005,-1,100000005,0,0,233,100000005,-1,100000005,346,6,768
20900,0,0,0,0,0,173,0,22,0,0,0,0,0,341,0,0,0,59,-1,-1,-1,-1,-1,-1,344,21,0,0,797,102,176,0,233,350,403,120,346,6,0
21009,0,88,0,-1,-1,-1,-1,-1,-1,0,91,433,-1,-1,-1,-1,-1,-1,0,0,8,0,0,0,0,100000006,100000006,130,268,33,72,57,0,134,46,127,351,0,10
21333,-1,-1,-1,0,0,0,0,150,0,0,91,433,0,313,0,0,0,0,-1,-1,-1,-1,-1,-1,46,100000006,100000006,130,119,33,-1,-1,-1,134,46,29,351,13,0
22623,0,0,0,-1,-1,-1,0,6,36,100000003,100000003,121,409,0,0,0,0,0,100000005,-1,100000005,48,9,0,313,0,0,0,268,0,34,0,118,196,328,101,98,0,183
22894,-1,-1,-1,0,0,0,0,0,206,107,151,0,30,132,0,155,0,0,0,543,624,0,9,0,0,352,732,0,105,100,13,0,233,-1,-1,-1,303,6,171
23051,0,0,0,0,0,0,-1,-1,-1,0,0,433,0,485,13,0,0,168,0,45,0,211,124,138,74,65,166,0,100000006,100000006,46,30,77,883,0,147,-1,-1,-1
23503,0,88,0,0,516,0,0,150,0,0,0,433,0,0,0,100000005,-1,100000005,0,0,86,-1,-1,-1,55,100000006,100000006,-1,-1,-1,72,0,0,134,561,178,351,0,185
23539,0,0,534,0,0,0,0,455,0,-1,-1,-1,100000003,100000003,13,0,0,0,0,0,0,211,83,0,146,0,166,0,100000006,100000006,280,0,77,883,814,0,178,0,754
23874,0,0,0,67,0,0,0,5,599,0,233,0,0,175,0,0,0,331,-1,-1,-1,0,591,22,0,100000006,100000006,100000003,100000003,432,497,0,746,322,138,822,258,715,183
23938,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,740,0,329,0,0,0,-1,-1,-1,0,0,45,0,0,270,0,571,0,34,224,8,-1,-1,-1,0,283,183
24409,-1,-1,-1,-1,-1,-1,-1,-1,-1,215,0,433,414,0,218,-1,-1,-1,-1,-1,-1,67,0,0,246,100000006,100000006,0,436,33,72,0,0,134,0,143,351,114,0
24651,0,0,0,0,0,256,0,0,0,137,0,433,0,0,0,0,64,0,322,0,582,-1,-1,-1,0,0,99,478,271,146,12,10,77,403,346,476,0,716,754
25836,-1,-1,-1,113,0,0,0,22,0,0,0,0,0,341,0,0,227,59,529,468,0,115,0,148,140,21,0,0,278,93,0,332,233,-1,-1,-1,346,6,12
26171,-1,-1,-1,0,105,0,0,150,0,59,0,433,0,0,0,0,0,463,0,0,0,0,0,266,409,100000006,100000006,0,0,33,72,114,0,-1,-1,-1,-1,-1,-1
26800,0,0,0,0,0,0,0,0,0,-1,-1,-1,528,48,13,0,451,427,0,0,62,533,0,720,326,0,0,269,100000006,100000006,185,667,77,883,17,111,178,61,754
27281,0,0,0,67,0,0,0,0,0,-1,-1,-1,-1,-1,-1,253,0,0,-1,-1,-1,-1,-1,-1,173,100000006,100000006,0,0,27,2,156,7,-1,-1,-1,258,0,183
27783,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,740,0,329,200,0,0,0,0,0,-1,-1,-1,0,0,0,0,571,0,34,224,8,0,328,157,0,283,183
28415,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,178,0,10,0,100000005,-1,100000005,0,0,22,0,450,207,0,446,0,-1,-1,-1,0,0,219,141,327,183
30283,0,746,0,67,0,0,-1,-1,-1,0,88,0,0,175,232,0,0,331,-1,-1,-1,0,591,22,0,100000006,100000006,-1,-1,-1,-1,-1,-1,322,138,822,258,715,183
30390,0,746,0,67,0,0,-1,-1,-1,531,0,0,0,175,0,0,0,331,-1,-1,-1,0,591,22,0,100000006,100000006,652,0,432,0,224,0,322,138,822,-1,-1,-1
30689,-1,-1,-1,0,80,0,0,0,324,0,161,433,0,0,13,-1,-1,-1,87,59,0,0,787,0,0,43,618,0,100000006,100000006,213,245,77,883,85,105,178,0,754
31227,0,0,0,349,0,0,0,0,0,287,91,433,0,0,413,-1,-1,-1,0,252,0,0,0,397,-1,-1,-1,0,271,0,0,10,77,403,706,109,-1,-1,-1
31521,0,0,0,67,0,0,0,0,599,20,51,0,-1,-1,-1,0,0,331,-1,-1,-1,549,591,22,0,100000006,100000006,-1,-1,-1,0,0,746,322,138,822,258,715,183
31700,-1,-1,-1,-1,-1,-1,0,150,253,0,312,433,0,0,0,280,94,0,726,322,0,0,0,598,246,100000006,100000006,16,436,33,72,0,407,134,0,198,-1,-1,-1
32105,0,357,0,-1,-1,-1,0,465,0,0,0,0,0,175,0,0,106,0,-1,-1,-1,0,520,22,0,100000006,100000006,0,616,27,0,237,0,-1,-1,-1,258,335,183
