,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
4814,0,112,0,65,0,316,-1,-1,-1,0,0,213,0,0,126,-1,-1,-1,188,0,0,0,167,108,-1,-1,-1,123,0,732,-1,-1,-1,-1,-1,-1,0,0,273
12102,0,0,0,0,0,13,0,0,55,0,14,0,-1,-1,-1,345,95,0,280,0,0,-1,-1,-1,0,0,215,0,9,528,204,443,0,42,284,53,271,0,216
15362,0,0,335,-1,-1,-1,0,0,0,0,282,0,209,0,0,607,95,0,0,595,0,-1,-1,-1,-1,-1,-1,0,499,0,129,75,0,393,284,11,0,100000006,100000006
16059,0,28,0,0,0,0,0,0,0,306,0,0,191,0,0,542,95,0,21,92,0,0,41,0,-1,-1,-1,0,275,38,0,57,3,100000005,-1,100000005,100000003,100000003,87
16593,0,28,100,0,0,0,0,0,0,306,0,449,191,5,0,542,95,0,21,0,0,-1,-1,-1,-1,-1,-1,69,275,38,728,57,3,100000005,-1,100000005,100000003,100000003,2
16996,0,0,0,65,0,0,790,0,118,0,10,546,0,0,126,0,95,0,-1,-1,-1,0,167,108,-1,-1,-1,0,18,0,-1,-1,-1,270,284,172,0,45,0
17079,0,112,56,-1,-1,-1,0,103,97,0,50,210,0,897,126,12,95,0,0,0,0,0,167,108,-1,-1,-1,-1,-1,-1,186,0,138,592,284,61,0,270,47
17393,0,0,0,0,0,13,0,0,55,0,14,0,-1,-1,-1,345,95,13,280,524,0,76,110,34,0,0,215,97,9,0,0,443,736,-1,-1,-1,271,118,216
17669,0,28,100,-1,-1,-1,0,0,0,-1,-1,-1,191,5,0,542,95,13,21,0,0,0,28,121,-1,-1,-1,0,275,38,0,57,3,100000005,-1,100000005,100000003,100000003,2
18129,0,112,0,65,0,0,0,330,97,0,0,0,0,0,126,12,95,0,188,0,501,0,167,108,-1,-1,-1,123,0,0,186,0,138,592,284,0,0,0,329
18219,0,0,0,0,0,13,0,0,55,0,14,0,0,0,0,0,95,0,280,0,14,0,110,0,98,146,203,100000005,-1,100000005,0,162,0,-1,-1,-1,81,525,216
18310,0,0,0,476,0,13,0,0,55,0,14,0,0,0,0,-1,-1,-1,0,23,0,0,110,0,0,3,357,-1,-1,-1,0,0,167,42,284,48,444,9,216
20962,0,0,0,423,0,0,0,0,26,0,0,355,457,177,126,0,95,0,-1,-1,-1,0,167,108,-1,-1,-1,30,0,65,0,176,138,91,284,0,261,763,783
23252,0,28,528,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,95,0,21,0,354,0,0,0,-1,-1,-1,0,202,38,638,476,3,100000005,-1,100000005,100000003,100000003,94
24066,0,0,215,0,0,13,0,528,55,0,14,0,0,0,0,0,95,0,0,0,0,0,110,6,-1,-1,-1,-1,-1,-1,12,81,510,42,284,98,216,178,216
24092,0,0,215,0,0,13,-1,-1,-1,363,14,0,0,0,0,100000005,-1,100000005,0,0,33,0,110,0,109,0,0,19,9,0,12,345,510,42,284,0,32,0,216
24368,0,0,0,-1,-1,-1,0,0,55,534,14,0,-1,-1,-1,100000005,-1,100000005,280,0,0,0,110,668,-1,-1,-1,0,9,443,164,162,466,-1,-1,-1,0,5,216
25591,-1,-1,-1,65,0,0,26,31,118,0,688,0,0,291,126,338,95,495,-1,-1,-1,16,167,108,-1,-1,-1,100000005,-1,100000005,255,0,138,0,284,0,0,0,0
25909,0,28,100,0,0,0,0,0,0,306,0,0,191,0,62,-1,-1,-1,21,0,299,-1,-1,-1,-1,-1,-1,0,275,38,0,57,3,100000005,-1,100000005,100000003,100000003,228
26100,0,0,215,0,0,13,574,0,55,-1,-1,-1,0,0,0,100000005,-1,100000005,0,0,0,0,110,521,109,0,64,0,9,0,-1,-1,-1,-1,-1,-1,578,610,216
26970,0,28,0,0,0,143,411,0,0,306,0,0,191,0,0,542,95,0,21,140,0,297,0,0,-1,-1,-1,0,275,38,0,57,3,-1,-1,-1,-1,-1,-1
27301,0,0,0,0,0,13,0,0,55,0,14,707,333,0,0,0,95,0,280,627,0,-1,-1,-1,128,301,0,21,9,21,0,162,0,-1,-1,-1,0,525,216
27733,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,542,95,0,21,296,55,0,0,0,-1,-1,-1,0,275,38,314,57,3,100000005,-1,100000005,100000003,100000003,339
28089,0,0,215,0,0,13,0,0,55,0,14,0,0,38,0,0,95,0,0,0,0,0,110,0,109,183,0,-1,-1,-1,12,390,510,42,284,0,688,34,216
28691,-1,-1,-1,0,0,13,0,0,55,0,14,0,0,38,2,0,95,0,0,0,236,84,110,0,109,183,0,0,9,0,12,0,510,42,284,0,688,717,216
28749,0,0,215,-1,-1,-1,0,0,55,0,14,0,0,38,2,0,95,273,0,0,104,84,110,0,109,183,0,0,9,0,12,0,510,42,284,207,688,241,216
29041,0,28,0,143,0,0,0,0,0,306,0,0,191,0,0,542,95,478,21,0,0,0,0,0,-1,-1,-1,0,275,38,0,57,3,100000005,-1,100000005,100000003,100000003,332
29237,0,28,0,0,0,0,0,100,0,306,5,0,191,0,0,-1,-1,-1,21,0,0,118,25,0,-1,-1,-1,-1,-1,-1,0,57,3,100000005,-1,100000005,100000003,100000003,339
30062,0,28,0,0,0,45,-1,-1,-1,306,0,0,191,0,0,542,95,0,21,0,24,0,0,0,-1,-1,-1,0,275,38,46,57,3,-1,-1,-1,100000003,100000003,211
30813,0,28,0,-1,-1,-1,0,142,0,-1,-1,-1,191,0,0,542,95,0,21,0,623,0,0,0,-1,-1,-1,11,275,38,0,57,3,100000005,-1,100000005,100000003,100000003,466
31335,0,28,0,0,0,16,0,0,0,306,0,0,191,0,0,-1,-1,-1,21,112,0,0,0,0,-1,-1,-1,0,275,38,0,57,3,100000005,-1,100000005,100000003,100000003,0
32132,0,479,0,65,269,0,0,0,97,272,0,0,0,0,126,12,95,0,0,0,0,106,167,108,-1,-1,-1,-1,-1,-1,0,0,138,592,284,453,-1,-1,-1
32565,-1,-1,-1,65,367,0,790,0,118,0,0,0,0,447,126,263,95,0,-1,-1,-1,0,167,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,649,284,172,202,205,0
32646,0,0,0,0,0,13,234,72,55,0,14,0,-1,-1,-1,-1,-1,-1,280,0,0,-1,-1,-1,0,34,0,100000005,-1,100000005,71,162,4,-1,-1,-1,0,0,216
33933,0,0,144,-1,-1,-1,0,0,55,0,14,0,0,10,35,345,95,0,280,0,118,76,110,34,-1,-1,-1,0,9,0,0,443,0,-1,-1,-1,-1,-1,-1
33977,0,123,215,263,0,13,-1,-1,-1,0,14,0,-1,-1,-1,100000005,-1,100000005,0,191,0,0,110,0,109,0,0,0,9,400,12,213,510,42,284,127,0,91,216
34030,0,0,215,0,0,13,0,0,55,0,14,0,0,38,2,0,95,0,0,0,104,84,110,17,109,183,0,-1,-1,-1,12,20,510,42,284,0,688,241,216
34056,0,0,0,0,215,0,0,0,292,-1,-1,-1,209,0,0,0,95,0,15,5,0,254,0,108,-1,-1,-1,0,0,0,555,741,0,393,284,0,200,100000006,100000006
34309,0,0,215,263,0,13,0,189,55,0,14,0,0,319,20,-1,-1,-1,0,0,0,0,110,0,109,0,136,0,9,0,12,0,510,42,284,0,-1,-1,-1
35841,0,0,0,-1,-1,-1,0,0,55,0,14,68,135,0,0,0,95,0,280,1,0,0,110,860,-1,-1,-1,-1,-1,-1,0,443,64,42,284,77,271,0,216
35906,0,0,164,65,0,0,0,0,118,220,327,0,341,0,126,100000005,-1,100000005,0,0,0,0,167,108,-1,-1,-1,0,0,0,0,907,138,471,284,0,358,80,0
36827,0,0,154,65,0,0,0,47,118,0,0,0,775,618,126,-1,-1,-1,-1,-1,-1,16,167,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,284,62,689,80,782
37407,-1,-1,-1,-1,-1,-1,0,0,55,0,14,0,0,38,0,0,95,0,415,129,0,0,110,218,109,183,12,0,9,0,12,390,510,42,284,0,688,0,216
37441,-1,-1,-1,0,0,13,0,178,55,230,14,0,0,0,0,0,95,0,280,0,595,-1,-1,-1,0,17,54,0,9,630,80,0,108,42,284,0,48,59,216
37700,0,28,373,0,0,0,0,0,0,306,73,0,191,357,0,542,95,0,21,0,623,0,57,0,-1,-1,-1,0,275,38,0,57,3,100000005,-1,100000005,100000003,100000003,615
37904,0,28,0,0,0,0,67,0,0,306,0,0,191,6,0,542,95,5,21,0,0,-1,-1,-1,-1,-1,-1,0,275,38,0,57,3,100000005,-1,100000005,100000003,100000003,63
37939,0,0,215,263,0,13,-1,-1,-1,0,14,0,0,0,0,100000005,-1,100000005,-1,-1,-1,0,110,499,-1,-1,-1,611,9,0,12,119,510,42,284,12,-1,-1,-1
38076,0,28,0,-1,-1,-1,0,0,0,306,0,0,191,12,0,542,95,0,21,0,623,0,0,0,-1,-1,-1,0,275,38,0,57,3,100000005,-1,100000005,100000003,100000003,430
38195,0,479,0,65,0,0,-1,-1,-1,272,0,336,-1,-1,-1,12,95,0,0,560,0,-1,-1,-1,-1,-1,-1,123,0,0,0,0,138,592,284,0,186,166,0
38459,0,28,0,0,0,0,0,0,717,306,0,0,191,0,0,542,95,0,21,0,0,0,958,0,-1,-1,-1,0,275,38,0,57,3,100000005,-1,100000005,100000003,100000003,0
38543,0,0,215,-1,-1,-1,-1,-1,-1,0,14,0,-1,-1,-1,0,95,0,0,0,0,89,110,0,109,183,0,0,9,0,12,390,510,42,284,391,688,0,216
38861,0,28,0,0,0,0,0,0,0,306,0,0,191,0,0,-1,-1,-1,21,0,623,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100000005,-1,100000005,100000003,100000003,0
39028,0,0,0,376,0,13,0,0,55,52,14,0,0,160,524,345,95,0,280,0,0,0,110,0,0,0,215,0,9,299,-1,-1,-1,42,284,380,271,281,216
39225,-1,-1,-1,0,0,0,0,266,0,306,0,0,191,0,0,542,95,0,21,453,623,450,0,0,-1,-1,-1,-1,-1,-1,0,57,3,-1,-1,-1,100000003,100000003,287
