,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
2517,0,0,0,0,0,0,0,5,4,0,23,56,0,7,6,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,100000003,100000003,0,0,0,58,100000005,-1,100000005
3315,0,0,0,0,2,40,-1,-1,-1,0,0,0,0,0,0,79,0,29,5,0,48,0,0,11,0,10,6,100000005,-1,100000005,0,100000006,100000006,73,59,12,100000005,-1,100000005
3705,0,0,29,30,0,0,-1,-1,-1,0,100000006,100000006,0,0,0,79,0,0,0,0,3,0,0,62,15,2,6,13,0,0,-1,-1,-1,48,6,39,100000005,-1,100000005
5673,0,0,0,0,0,30,0,0,0,0,0,0,-1,-1,-1,79,0,4,-1,-1,-1,0,13,0,4,1,6,3,12,0,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
6348,0,0,0,0,0,0,0,0,0,0,5,71,-1,-1,-1,79,0,8,0,4,0,74,13,0,4,0,6,16,12,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
7494,0,0,0,0,5,70,0,0,0,70,0,49,4,0,18,25,18,0,14,100000006,100000006,0,1,0,0,0,16,100000005,-1,100000005,100000005,-1,100000005,4,25,0,1,2,56
12406,0,57,0,0,0,0,0,0,4,9,23,0,0,0,6,79,0,35,0,36,0,69,4,8,-1,-1,-1,0,0,0,10,12,0,-1,-1,-1,100000005,-1,100000005
15266,0,0,0,0,0,0,-1,-1,-1,1,23,1,36,0,6,79,66,0,-1,-1,-1,0,4,0,0,0,6,0,22,0,24,0,29,0,0,33,100000005,-1,100000005
15936,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,0,13,4,27,11,4,8,6,16,0,0,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
16244,0,0,0,0,0,0,-1,-1,-1,16,0,28,-1,-1,-1,79,0,29,0,0,0,-1,-1,-1,0,18,6,25,24,16,19,0,0,19,0,7,100000005,-1,100000005
16568,0,5,0,0,0,0,0,0,5,-1,-1,-1,0,100000006,100000006,79,0,0,33,38,0,0,32,0,4,3,6,-1,-1,-1,0,0,46,-1,-1,-1,100000005,-1,100000005
17347,0,0,0,22,0,0,0,0,22,0,0,0,51,24,0,25,100000006,100000006,0,0,0,0,0,0,2,0,0,2,0,67,19,0,0,4,49,0,6,7,6
19624,0,0,0,30,6,0,-1,-1,-1,-1,-1,-1,0,26,0,79,81,60,0,0,36,20,24,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
20026,2,0,0,0,24,0,0,0,0,-1,-1,-1,-1,-1,-1,79,100000006,100000006,0,4,0,74,13,0,4,32,6,16,50,5,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
20722,-1,-1,-1,0,0,25,0,0,0,22,5,0,-1,-1,-1,79,0,0,-1,-1,-1,0,13,0,4,0,6,16,61,0,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
21189,0,0,58,0,0,0,0,0,0,0,5,0,-1,-1,-1,79,21,0,0,4,18,0,13,0,-1,-1,-1,16,61,2,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
23166,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,25,0,52,6,0,0,0,0,0,-1,-1,-1,0,0,67,-1,-1,-1,4,49,53,53,0,6
23818,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,2,79,80,0,33,5,13,0,0,0,4,54,6,3,10,0,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
23917,0,0,10,-1,-1,-1,24,0,0,0,0,49,-1,-1,-1,25,3,0,0,39,0,0,0,0,38,0,0,0,0,8,0,0,0,4,38,6,1,2,10
24686,0,0,0,-1,-1,-1,-1,-1,-1,0,5,0,-1,-1,-1,79,0,0,0,4,0,74,13,0,4,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
24929,0,29,0,-1,-1,-1,-1,-1,-1,0,5,0,-1,-1,-1,-1,-1,-1,2,4,18,0,13,0,4,0,6,16,61,0,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
25540,-1,-1,-1,0,6,0,2,0,4,9,23,0,0,0,6,79,0,28,0,0,43,29,4,0,42,0,6,0,0,0,10,72,0,9,0,33,100000005,-1,100000005
26183,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,12,0,79,0,7,33,0,0,1,0,0,4,1,6,24,21,1,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
27639,0,0,0,-1,-1,-1,18,0,0,0,0,0,-1,-1,-1,79,0,0,0,4,0,0,13,12,-1,-1,-1,38,34,0,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
28007,0,4,0,-1,-1,-1,0,0,4,83,0,10,0,0,0,-1,-1,-1,25,0,5,100000005,-1,100000005,21,0,6,-1,-1,-1,4,48,15,46,0,1,100000005,-1,100000005
