,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
6097,-1,-1,-1,0,0,35,-1,-1,-1,0,0,43,0,35,0,11,26,31,0,0,38,-1,-1,-1,0,0,24,0,0,74,20,0,13,-1,-1,-1,100000005,-1,100000005
7454,0,0,0,0,0,19,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,100000003,100000003,0,6,0,51,35,0,9,-1,-1,-1,-1,-1,-1,3,9,27
8954,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,18,0,31,91,0,2,100000003,100000003,0,-1,-1,-1,0,7,9,20,100000006,100000006,-1,-1,-1,0,1,27
9177,-1,-1,-1,0,0,44,25,46,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,0,0,0,50,0,18,31,-1,-1,-1,20,1,13,-1,-1,-1,100000005,-1,100000005
10545,0,0,0,63,0,0,-1,-1,-1,0,0,0,0,68,0,-1,-1,-1,88,0,0,2,0,22,0,0,0,-1,-1,-1,20,14,13,-1,-1,-1,100000005,-1,100000005
13893,0,5,0,0,26,43,-1,-1,-1,0,0,15,60,0,0,0,0,31,0,0,0,0,0,0,0,18,0,0,68,0,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
17182,0,0,0,0,0,0,25,46,41,100000003,100000003,0,-1,-1,-1,0,0,31,0,0,0,0,0,4,30,18,0,0,0,17,20,1,13,-1,-1,-1,100000005,-1,100000005
19762,0,9,11,0,0,68,0,17,0,6,21,0,15,0,65,-1,-1,-1,0,20,0,8,0,41,0,28,0,0,0,9,20,100000006,100000006,-1,-1,-1,40,42,0
20708,0,0,0,0,0,19,0,0,0,0,0,60,0,0,14,0,0,31,0,0,0,100000003,100000003,0,6,0,0,0,42,9,20,100000006,100000006,-1,-1,-1,3,18,27
20912,0,9,11,-1,-1,-1,0,0,19,0,0,0,0,18,65,-1,-1,-1,1,29,0,0,0,26,0,0,0,0,0,9,-1,-1,-1,-1,-1,-1,40,42,52
23819,-1,-1,-1,-1,-1,-1,0,42,41,13,0,0,0,0,0,0,26,31,0,0,0,0,0,22,28,0,20,-1,-1,-1,20,0,13,-1,-1,-1,100000005,-1,100000005
24772,0,9,11,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,29,0,0,0,0,0,0,0,4,0,9,20,100000006,100000006,-1,-1,-1,-1,-1,-1
24964,0,0,0,0,0,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,31,0,0,0,0,0,0,0,18,0,0,0,22,20,0,13,-1,-1,-1,100000005,-1,100000005
