,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
3263,0,6,0,0,0,0,0,16,0,-1,-1,-1,31,0,0,11,0,0,14,23,21,-1,-1,-1,0,33,0,0,19,0,2,36,0,0,33,16,100000005,-1,100000005
6309,0,6,0,0,0,0,0,0,10,100000005,-1,100000005,31,6,0,3,0,0,0,0,21,0,6,15,0,0,13,0,0,6,2,36,0,21,33,35,100000005,-1,100000005
9385,0,6,0,11,0,0,17,19,0,-1,-1,-1,31,16,0,9,0,37,0,0,21,0,0,0,0,1,51,0,0,0,2,36,56,0,33,15,100000005,-1,100000005
10829,-1,-1,-1,0,0,0,0,81,10,0,0,0,31,0,0,0,0,22,0,25,21,41,0,0,24,0,19,22,0,6,2,36,0,0,33,13,100000005,-1,100000005
15001,0,0,0,-1,-1,-1,49,0,0,0,0,11,31,0,20,15,0,0,1,4,21,0,2,0,0,76,0,0,35,4,2,13,23,14,33,64,6,28,16
17558,0,0,0,0,0,0,0,0,0,0,0,11,31,100000006,100000006,-1,-1,-1,0,4,21,0,0,5,0,76,0,0,0,3,-1,-1,-1,-1,-1,-1,100000005,-1,100000005
17781,0,0,0,49,0,17,30,53,0,0,0,11,-1,-1,-1,-1,-1,-1,4,4,21,0,0,5,2,76,0,0,0,3,-1,-1,-1,48,33,35,100000005,-1,100000005
18051,0,0,0,4,0,0,0,69,0,0,0,11,31,0,0,0,40,14,22,4,21,4,10,5,0,76,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18295,0,6,0,28,30,0,-1,-1,-1,0,0,0,-1,-1,-1,0,34,0,0,0,21,0,2,7,-1,-1,-1,0,0,0,2,36,0,10,33,0,100000005,-1,100000005
19575,0,0,18,49,0,0,0,0,0,37,0,11,31,0,0,0,0,0,0,4,21,-1,-1,-1,0,76,0,25,0,3,-1,-1,-1,48,33,35,100000005,-1,100000005
20283,0,3,0,-1,-1,-1,-1,-1,-1,0,0,11,31,18,0,0,0,0,0,4,21,0,8,5,27,76,0,0,24,3,-1,-1,-1,0,33,35,-1,-1,-1
