,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
2430,0,0,0,0,0,12,-1,-1,-1,-1,-1,-1,0,13,0,0,24,8,0,19,66,-1,-1,-1,14,22,5,0,8,17,-1,-1,-1,64,0,1,34,85,26
5111,0,0,0,0,0,12,2,0,0,13,0,5,0,0,0,0,13,0,69,0,66,-1,-1,-1,14,0,21,5,100000006,100000006,6,7,0,-1,-1,-1,41,26,50
8442,0,0,0,0,0,12,0,0,0,-1,-1,-1,0,5,0,100000003,100000003,11,35,0,66,0,9,0,-1,-1,-1,0,0,4,6,12,45,15,27,0,14,0,17
11144,0,0,77,11,0,12,0,61,19,13,18,0,0,0,0,0,37,0,6,0,66,0,0,0,14,9,51,-1,-1,-1,6,10,34,51,25,28,34,0,33
12556,0,0,0,34,0,12,-1,-1,-1,0,0,0,95,24,54,3,1,0,0,0,66,0,8,0,-1,-1,-1,100000005,-1,100000005,6,16,0,0,0,34,0,0,7
15523,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,0,53,0,5,0,0,0,0,0,0,66,0,0,0,14,32,0,31,4,0,6,0,0,-1,-1,-1,-1,-1,-1
15620,0,0,0,11,0,12,-1,-1,-1,13,18,0,0,0,0,0,0,0,0,5,66,17,42,22,14,0,0,0,3,17,6,50,56,-1,-1,-1,34,17,33
15763,0,0,0,0,72,12,0,9,0,13,50,59,0,5,7,0,0,0,43,37,66,0,0,1,-1,-1,-1,-1,-1,-1,6,40,0,-1,-1,-1,14,0,35
16359,0,0,0,0,0,12,0,0,0,13,0,19,0,0,21,0,26,33,0,16,66,-1,-1,-1,14,0,10,-1,-1,-1,-1,-1,-1,44,27,9,1,45,55
16947,-1,-1,-1,-1,-1,-1,0,0,1,0,0,16,0,30,0,-1,-1,-1,-1,-1,-1,3,1,0,14,0,23,0,10,6,-1,-1,-1,0,41,76,6,0,60
