,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
3628,0,4,0,22,0,0,0,18,0,-1,-1,-1,0,0,40,-1,-1,-1,0,0,0,44,17,54,0,0,0,19,0,0,0,6,75,-1,-1,-1,27,2,4
7997,0,0,0,0,0,0,0,0,0,0,41,0,74,0,40,0,0,62,25,0,1,0,0,10,0,15,9,14,50,3,71,41,75,40,90,15,16,2,3
9317,47,0,0,0,0,0,0,0,0,0,0,0,15,0,40,-1,-1,-1,0,0,0,0,0,54,31,0,56,0,16,0,0,13,75,-1,-1,-1,29,2,7
12530,0,0,0,53,0,0,0,0,8,-1,-1,-1,74,0,40,0,2,62,18,97,2,0,0,0,-1,-1,-1,14,4,34,-1,-1,-1,53,90,15,16,2,1
13485,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,8,29,40,0,0,0,-1,-1,-1,0,18,54,0,0,0,-1,-1,-1,100000003,100000003,75,0,0,15,55,2,2
13688,0,0,0,0,86,0,0,6,8,0,6,0,3,0,40,23,0,0,7,0,34,0,71,54,100000003,100000003,0,-1,-1,-1,27,31,75,0,68,15,13,2,6
14136,0,0,0,-1,-1,-1,-1,-1,-1,0,0,8,-1,-1,-1,-1,-1,-1,0,0,34,19,71,54,-1,-1,-1,-1,-1,-1,27,22,75,0,68,15,44,2,29
14599,-1,-1,-1,0,0,0,22,16,0,0,0,0,74,0,40,4,1,62,62,22,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,75,0,90,15,16,2,22
15344,0,12,0,0,0,0,0,0,8,4,6,0,0,35,40,-1,-1,-1,0,5,68,-1,-1,-1,-1,-1,-1,0,70,5,100000003,100000003,75,22,38,15,47,2,2
17693,0,0,39,22,0,0,0,0,0,0,0,0,10,0,40,-1,-1,-1,0,0,0,0,17,54,0,0,0,15,32,0,0,60,75,13,48,15,27,2,35
19432,0,0,0,-1,-1,-1,0,0,0,0,0,0,74,22,40,51,0,62,25,0,0,-1,-1,-1,21,15,0,14,0,3,0,59,75,40,90,15,16,2,27
19639,0,12,0,-1,-1,-1,0,0,8,4,1,0,0,35,40,0,100000006,100000006,0,5,4,-1,-1,-1,0,25,10,0,0,16,100000003,100000003,75,22,38,15,47,2,2
20284,-1,-1,-1,0,25,0,-1,-1,-1,38,0,0,74,0,40,0,18,62,0,9,0,0,8,49,36,15,0,14,31,0,45,5,75,16,90,15,16,2,38
20393,0,0,0,0,0,0,0,6,8,-1,-1,-1,-1,-1,-1,23,37,0,0,0,34,0,71,54,100000003,100000003,50,58,0,0,27,0,75,-1,-1,-1,-1,-1,-1
20983,0,0,0,0,0,0,-1,-1,-1,0,0,29,0,29,40,0,0,0,0,5,10,0,18,54,0,0,0,17,58,61,100000003,100000003,75,0,0,15,0,2,2
22762,0,0,47,0,0,32,22,0,0,0,3,0,74,0,40,3,0,62,0,0,0,0,8,49,36,15,19,14,31,54,0,0,75,0,90,15,16,2,38
23863,0,0,0,-1,-1,-1,0,6,8,-1,-1,-1,3,0,40,23,0,0,0,92,34,0,71,54,100000003,100000003,32,58,60,0,27,4,75,0,68,15,44,2,0
24592,0,10,0,0,0,0,-1,-1,-1,50,0,8,0,0,40,-1,-1,-1,0,4,0,0,32,54,0,0,56,0,0,0,7,0,75,16,48,15,-1,-1,-1
25302,0,0,0,0,0,0,48,0,0,0,20,59,0,29,40,0,0,0,0,5,0,-1,-1,-1,4,37,0,0,58,13,100000003,100000003,75,0,74,15,35,2,2
25318,-1,-1,-1,0,0,11,22,27,0,0,0,0,74,0,40,-1,-1,-1,-1,-1,-1,6,8,49,36,15,0,-1,-1,-1,0,0,75,18,90,15,-1,-1,-1
25752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-1,-1,-1,-1,-1,-1,63,0,54,-1,-1,-1,100000003,100000003,17,-1,-1,-1,16,0,15,27,2,67
25886,-1,-1,-1,0,6,0,0,0,0,0,0,0,0,29,40,0,0,0,0,5,10,0,18,54,0,100000006,100000006,0,58,0,100000003,100000003,75,0,0,15,14,2,2
26145,0,0,0,0,0,6,1,0,8,38,10,0,0,0,40,0,0,0,2,5,0,17,0,54,-1,-1,-1,0,0,0,100000003,100000003,75,0,38,15,0,2,2
26479,0,0,1,0,0,0,0,6,8,-1,-1,-1,-1,-1,-1,23,0,22,0,0,34,0,71,54,100000003,100000003,0,58,0,0,27,0,75,0,68,15,17,2,0
27520,0,30,0,23,0,6,0,0,8,0,0,0,0,3,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,30,0,34,0,0,100000003,100000003,75,3,38,15,21,2,2
27672,-1,-1,-1,-1,-1,-1,0,0,0,21,0,0,8,29,40,0,34,0,0,5,10,0,18,54,0,54,0,0,58,15,100000003,100000003,75,2,0,15,55,2,2
27889,0,12,0,5,0,5,0,0,8,-1,-1,-1,0,35,40,0,0,0,-1,-1,-1,-1,-1,-1,12,5,10,-1,-1,-1,100000003,100000003,75,22,38,15,47,2,2
28309,0,0,0,-1,-1,-1,0,6,8,0,0,0,3,0,40,23,0,9,28,26,34,19,71,54,-1,-1,-1,58,0,4,27,0,75,1,68,15,-1,-1,-1
28972,0,0,0,0,43,0,0,0,0,0,20,7,0,29,40,0,0,0,0,5,26,5,18,54,4,0,0,0,58,15,100000003,100000003,75,0,74,15,35,2,2
29703,0,0,0,0,0,0,0,0,0,0,20,0,10,29,40,100000005,-1,100000005,0,5,0,0,18,54,4,0,0,-1,-1,-1,100000003,100000003,75,0,74,15,35,2,2
30180,0,0,0,-1,-1,-1,0,0,0,100000005,-1,100000005,-1,-1,-1,0,0,62,25,0,0,0,0,10,21,15,0,14,5,3,0,44,75,40,90,15,16,2,27
30952,0,0,6,100000003,100000003,13,-1,-1,-1,17,0,5,74,0,40,-1,-1,-1,0,3,0,0,10,0,0,15,0,14,100000006,100000006,23,34,75,-1,-1,-1,16,2,14
32309,0,0,0,0,0,0,0,0,0,0,0,22,3,0,40,23,0,0,0,0,34,0,71,54,69,0,0,-1,-1,-1,0,31,75,14,21,15,0,2,36
32502,0,0,0,0,0,0,0,6,8,-1,-1,-1,3,0,40,23,0,2,0,0,34,13,71,54,100000003,100000003,0,58,0,4,27,5,75,0,68,15,0,2,0
32800,-1,-1,-1,0,0,0,0,35,0,0,0,0,74,0,40,0,0,62,20,0,0,18,5,0,0,15,0,-1,-1,-1,0,1,75,-1,-1,-1,16,2,35
32903,0,0,0,0,0,0,0,6,8,0,6,0,3,16,40,23,0,18,-1,-1,-1,-1,-1,-1,100000003,100000003,0,58,0,22,27,1,75,-1,-1,-1,0,2,17
32965,0,0,0,0,0,0,75,0,0,0,10,0,0,36,40,-1,-1,-1,0,74,0,0,0,54,9,14,56,0,0,74,0,68,75,16,48,15,14,2,0
33126,0,30,0,0,0,6,0,0,8,0,0,39,0,3,40,-1,-1,-1,0,5,0,0,21,54,0,30,0,-1,-1,-1,100000003,100000003,75,3,38,15,-1,-1,-1
33527,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,40,-1,-1,-1,53,0,34,70,71,54,100000003,100000003,0,-1,-1,-1,27,0,75,0,68,15,44,2,16
